species,ring,mol_sex,sexing_year,sample_file,sample_name,P2/P8,P2/P8,Z002B/Z002D,Z002B/Z002D,P2/P8Repetition,P2/P8Repetition,Z002B/Z002DRepetition,Z002B/Z002DRepetition,capture_year,capture_date,code,sexed_by,comments
KiP,FH17001,F,2007,,,,,,,,,,,2005,216,XG.XO|XM.XO,,
KiP,FH17004,F,2007,,,,,,,,,,,2005,216,XR.XB|XM.XG,,
KiP,FH17005,F,2007,,,,,,,,,,,2005,216,XR.XL|XM.XG,,
KiP,FH17005,F,2007,,,,,,,,,,,2005,227,X.X|XM.XB,,
KiP,FH17118,F,2007,,,,,,,,,,,2004,1213,XB.XL|XM.XO,,
KiP,FH17160,F,2007,,,,,,,,,,,2005,214,XR.XB|XM.XO,,
KiP,FH17165,F,2007,,,,,,,,,,,2005,216,XR.XW|XM.XO,,
KiP,FH17166,F,2007,,,,,,,,,,,2005,216,XG.XB|XM.XO,,
KiP,FH17167,F,2007,,,,,,,,,,,2005,216,XG.XL|XM.XO,,
KiP,FH17201,F,2007,,,,,,,,,,,2005,402,X.X|XM.X,,
KiP,FH17202,F,2007,,,,,,,,,,,2005,402,X.X|XM.X,,
KiP,FH17234,F,2007,,,,,,,,,,,2005,408,X.X|XM.X,,
KiP,FH17252,F,2007,,,,,,,,,,,2005,422,X.XB|XM.X,,
KiP,FH17262,F,2007,,,,,,,,,,,2005,426,X.XR|XM.X,,
KiP,FH17279,F,2007,,,,,,,,,,,2005,502,XR.XL|XM.XY,,
KiP,FH17284,F,2007,,,,,,,,,,,2005,506,XR.XW|XM.XY,,
KiP,FH17285,F,2007,,,,,,,,,,,2005,506,X0.XB|XM.XY,,
KiP,FH17293,F,2007,,,,,,,,,,,2005,508,X0.XR|XM.XY,,
KiP,FH17002,M,2007,,,,,,,,,,,2005,216,XG.XR|XM.XO,,
KiP,FH17003,M,2007,,,,,,,,,,,2005,216,XG.XW|XM.XO,,
KiP,FH17043,M,2007,,,,,,,,,,,2005,228,X.X|XM.XR,,
KiP,FH17083,M,2007,,,,,,,,,,,2005,402,X.X|XM.X,,
KiP,FH17157,M,2007,,,,,,,,,,,2005,213,XW.XO|XM.XO,,
KiP,FH17161,M,2007,,,,,,,,,,,2005,214,XR.XL|XM.XO,,
KiP,FH17203,M,2007,,,,,,,,,,,2005,402,X.X|XM.X,,
KiP,FH17205,M,2007,,,,,,,,,,,2005,403,X.X|XM.X,,
KiP,FH17233,M,2007,,,,,,,,,,,2005,408,X.X|XM.X,,
KiP,FH17239,M,2007,,,,,,,,,,,2005,409,X.X|XM.X,,
KiP,FH17242,M,2007,,,,,,,,,,,2005,411,X.X|XM.X,,
KiP,FH17253,M,2007,,,,,,,,,,,2005,422,X.XL|XM.X,,
KiP,FH17259,M,2007,,,,,,,,,,,2005,425,X.XG|XM.X,,
KiP,FH17260,M,2007,,,,,,,,,,,2005,425,X.XO|XM.X,,
KiP,X,M,2007,,,,,,,,,,,2004,928,XX.XG|XX.XX,,
KiP,X,M,2007,,,,,,,,,,,2004,928,XX.XL|XX.XX,,
KiP,X,M,2007,,,,,,,,,,,2004,928,XX.XB|XX.XX,,
KiP,X,M,2007,,,,,,,,,,,2004,930,XX.XL|XX.XO,,
KiP,FH17854,F,2012,,,,,,,,,,,,,,,
KiP,FH17901,F,2012,,,,,,,,,,,,,,,
KiP,FH47031,F,2012,,,,,,,,,,,,,,,
KiP,FH47045,F,2012,,,,,,,,,,,,,,,
KiP,FH47087,M,2012,,,,,,,,,,,,,,,
KiP,FH47101,M,2012,,,,,,,,,,,,,,,
KiP,FH47102,F,2012,,,,,,,,,,,,,,,
KiP,FH47104,M,2012,,,,,,,,,,,,,,,
KiP,FH47105,M,2012,,,,,,,,,,,,,,,
KiP,FH47112,F,2012,,,,,,,,,,,,,,,
KiP,FH47113,M,2012,,,,,,,,,,,,,,,
KiP,FH47116,F,2012,,,,,,,,,,,,,,,
KiP,FH47117,M,2012,,,,,,,,,,,,,,,
KiP,FH47118,M,2012,,,,,,,,,,,,,,,
KiP,FH47126,M,2012,,,,,,,,,,,,,,,
KiP,FH47127,M,2012,,,,,,,,,,,,,,,
KiP,FH47130,M,2012,,,,,,,,,,,,,,,
KiP,FH47136,M,2012,,,,,,,,,,,,,,,
KiP,FH47140,F,2012,,,,,,,,,,,,,,,
KiP,FH47145,F,2012,,,,,,,,,,,,,,,
KiP,FH47147,M,2012,,,,,,,,,,,,,,,
KiP,FH47149,F,2012,,,,,,,,,,,,,,,
KiP,FH47152,M,2012,,,,,,,,,,,,,,,
KiP,FH47153,F,2012,,,,,,,,,,,,,,,
KiP,FH47157,M,2012,,,,,,,,,,,,,,,
KiP,FH47159,M,2012,,,,,,,,,,,,,,,
